product,timestamp,strategy_name,mid_price,sma5x20_signal,signal_shifted,position,entry_price,exit_price,pnl,cum_pnl,sma10x30_signal,sma15x30_signal,sma10x40_signal,sma15x40_signal,sma20x40_signal
KELP,0.0,sma10x30,2033.5,,,0,,,,0.0,0.0,,,,
KELP,0.0,sma10x40,2033.5,,,0,,,,0.0,,,0.0,,
KELP,0.0,sma15x30,2033.5,,,0,,,,0.0,,0.0,,,
KELP,0.0,sma15x40,2033.5,,,0,,,,0.0,,,,0.0,
KELP,0.0,sma20x40,2033.5,,,0,,,,0.0,,,,,0.0
KELP,0.0,sma5x20,2033.5,0.0,,0,,,,0.0,,,,,
RAINFOREST_RESIN,0.0,sma10x30,10001.5,,,0,,,,0.0,0.0,,,,
RAINFOREST_RESIN,0.0,sma10x40,10001.5,,,0,,,,0.0,,,0.0,,
RAINFOREST_RESIN,0.0,sma15x30,10001.5,,,0,,,,0.0,,0.0,,,
RAINFOREST_RESIN,0.0,sma15x40,10001.5,,,0,,,,0.0,,,,0.0,
RAINFOREST_RESIN,0.0,sma20x40,10001.5,,,0,,,,0.0,,,,,0.0
RAINFOREST_RESIN,0.0,sma5x20,10001.5,0.0,,0,,,,0.0,,,,,
SQUID_INK,0.0,sma10x30,1836.0,,,0,,,,0.0,0.0,,,,
SQUID_INK,0.0,sma10x40,1836.0,,,0,,,,0.0,,,0.0,,
SQUID_INK,0.0,sma15x30,1836.0,,,0,,,,0.0,,0.0,,,
SQUID_INK,0.0,sma15x40,1836.0,,,0,,,,0.0,,,,0.0,
SQUID_INK,0.0,sma20x40,1836.0,,,0,,,,0.0,,,,,0.0
SQUID_INK,0.0,sma5x20,1836.0,0.0,,0,,,,0.0,,,,,
KELP,100.0,sma10x30,2034.5,,0.0,0,,,,0.0,0.0,,,,
KELP,100.0,sma10x40,2034.5,,0.0,0,,,,0.0,,,0.0,,
KELP,100.0,sma15x30,2034.5,,0.0,0,,,,0.0,,0.0,,,
KELP,100.0,sma15x40,2034.5,,0.0,0,,,,0.0,,,,0.0,
KELP,100.0,sma20x40,2034.5,,0.0,0,,,,0.0,,,,,0.0
KELP,100.0,sma5x20,2034.5,0.0,0.0,0,,,,0.0,,,,,
RAINFOREST_RESIN,100.0,sma10x30,10003.0,,0.0,0,,,,0.0,0.0,,,,
RAINFOREST_RESIN,100.0,sma10x40,10003.0,,0.0,0,,,,0.0,,,0.0,,
RAINFOREST_RESIN,100.0,sma15x30,10003.0,,0.0,0,,,,0.0,,0.0,,,
RAINFOREST_RESIN,100.0,sma15x40,10003.0,,0.0,0,,,,0.0,,,,0.0,
RAINFOREST_RESIN,100.0,sma20x40,10003.0,,0.0,0,,,,0.0,,,,,0.0
RAINFOREST_RESIN,100.0,sma5x20,10003.0,0.0,0.0,0,,,,0.0,,,,,
SQUID_INK,100.0,sma10x30,1838.0,,0.0,0,,,,0.0,0.0,,,,
SQUID_INK,100.0,sma10x40,1838.0,,0.0,0,,,,0.0,,,0.0,,
SQUID_INK,100.0,sma15x30,1838.0,,0.0,0,,,,0.0,,0.0,,,
SQUID_INK,100.0,sma15x40,1838.0,,0.0,0,,,,0.0,,,,0.0,
SQUID_INK,100.0,sma20x40,1838.0,,0.0,0,,,,0.0,,,,,0.0
SQUID_INK,100.0,sma5x20,1838.0,0.0,0.0,0,,,,0.0,,,,,
KELP,200.0,sma10x30,2033.5,,0.0,0,,,,0.0,0.0,,,,
KELP,200.0,sma10x40,2033.5,,0.0,0,,,,0.0,,,0.0,,
KELP,200.0,sma15x30,2033.5,,0.0,0,,,,0.0,,0.0,,,
KELP,200.0,sma15x40,2033.5,,0.0,0,,,,0.0,,,,0.0,
KELP,200.0,sma20x40,2033.5,,0.0,0,,,,0.0,,,,,0.0
KELP,200.0,sma5x20,2033.5,0.0,0.0,0,,,,0.0,,,,,
RAINFOREST_RESIN,200.0,sma10x30,10000.0,,0.0,0,,,,0.0,0.0,,,,
RAINFOREST_RESIN,200.0,sma10x40,10000.0,,0.0,0,,,,0.0,,,0.0,,
RAINFOREST_RESIN,200.0,sma15x30,10000.0,,0.0,0,,,,0.0,,0.0,,,
RAINFOREST_RESIN,200.0,sma15x40,10000.0,,0.0,0,,,,0.0,,,,0.0,
RAINFOREST_RESIN,200.0,sma20x40,10000.0,,0.0,0,,,,0.0,,,,,0.0
RAINFOREST_RESIN,200.0,sma5x20,10000.0,0.0,0.0,0,,,,0.0,,,,,
SQUID_INK,200.0,sma10x30,1833.5,,0.0,0,,,,0.0,0.0,,,,
SQUID_INK,200.0,sma10x40,1833.5,,0.0,0,,,,0.0,,,0.0,,
SQUID_INK,200.0,sma15x30,1833.5,,0.0,0,,,,0.0,,0.0,,,
SQUID_INK,200.0,sma15x40,1833.5,,0.0,0,,,,0.0,,,,0.0,
SQUID_INK,200.0,sma20x40,1833.5,,0.0,0,,,,0.0,,,,,0.0
SQUID_INK,200.0,sma5x20,1833.5,0.0,0.0,0,,,,0.0,,,,,
KELP,300.0,sma10x30,2034.5,,0.0,0,,,,0.0,0.0,,,,
KELP,300.0,sma10x40,2034.5,,0.0,0,,,,0.0,,,0.0,,
KELP,300.0,sma15x30,2034.5,,0.0,0,,,,0.0,,0.0,,,
KELP,300.0,sma15x40,2034.5,,0.0,0,,,,0.0,,,,0.0,
KELP,300.0,sma20x40,2034.5,,0.0,0,,,,0.0,,,,,0.0
KELP,300.0,sma5x20,2034.5,0.0,0.0,0,,,,0.0,,,,,
RAINFOREST_RESIN,300.0,sma10x30,10000.0,,0.0,0,,,,0.0,0.0,,,,
RAINFOREST_RESIN,300.0,sma10x40,10000.0,,0.0,0,,,,0.0,,,0.0,,
RAINFOREST_RESIN,300.0,sma15x30,10000.0,,0.0,0,,,,0.0,,0.0,,,
RAINFOREST_RESIN,300.0,sma15x40,10000.0,,0.0,0,,,,0.0,,,,0.0,
RAINFOREST_RESIN,300.0,sma20x40,10000.0,,0.0,0,,,,0.0,,,,,0.0
RAINFOREST_RESIN,300.0,sma5x20,10000.0,0.0,0.0,0,,,,0.0,,,,,
SQUID_INK,300.0,sma10x30,1836.5,,0.0,0,,,,0.0,0.0,,,,
SQUID_INK,300.0,sma10x40,1836.5,,0.0,0,,,,0.0,,,0.0,,
SQUID_INK,300.0,sma15x30,1836.5,,0.0,0,,,,0.0,,0.0,,,
SQUID_INK,300.0,sma15x40,1836.5,,0.0,0,,,,0.0,,,,0.0,
SQUID_INK,300.0,sma20x40,1836.5,,0.0,0,,,,0.0,,,,,0.0
SQUID_INK,300.0,sma5x20,1836.5,0.0,0.0,0,,,,0.0,,,,,
KELP,400.0,sma10x30,2033.5,,0.0,0,,,,0.0,0.0,,,,
KELP,400.0,sma10x40,2033.5,,0.0,0,,,,0.0,,,0.0,,
KELP,400.0,sma15x30,2033.5,,0.0,0,,,,0.0,,0.0,,,
KELP,400.0,sma15x40,2033.5,,0.0,0,,,,0.0,,,,0.0,
KELP,400.0,sma20x40,2033.5,,0.0,0,,,,0.0,,,,,0.0
KELP,400.0,sma5x20,2033.5,0.0,0.0,0,,,,0.0,,,,,
RAINFOREST_RESIN,400.0,sma10x30,10001.0,,0.0,0,,,,0.0,0.0,,,,
RAINFOREST_RESIN,400.0,sma10x40,10001.0,,0.0,0,,,,0.0,,,0.0,,
RAINFOREST_RESIN,400.0,sma15x30,10001.0,,0.0,0,,,,0.0,,0.0,,,
RAINFOREST_RESIN,400.0,sma15x40,10001.0,,0.0,0,,,,0.0,,,,0.0,
RAINFOREST_RESIN,400.0,sma20x40,10001.0,,0.0,0,,,,0.0,,,,,0.0
RAINFOREST_RESIN,400.0,sma5x20,10001.0,0.0,0.0,0,,,,0.0,,,,,
SQUID_INK,400.0,sma10x30,1834.5,,0.0,0,,,,0.0,0.0,,,,
SQUID_INK,400.0,sma10x40,1834.5,,0.0,0,,,,0.0,,,0.0,,
SQUID_INK,400.0,sma15x30,1834.5,,0.0,0,,,,0.0,,0.0,,,
SQUID_INK,400.0,sma15x40,1834.5,,0.0,0,,,,0.0,,,,0.0,
SQUID_INK,400.0,sma20x40,1834.5,,0.0,0,,,,0.0,,,,,0.0
SQUID_INK,400.0,sma5x20,1834.5,0.0,0.0,0,,,,0.0,,,,,
KELP,500.0,sma10x30,2033.0,,0.0,0,,,,0.0,0.0,,,,
KELP,500.0,sma10x40,2033.0,,0.0,0,,,,0.0,,,0.0,,
KELP,500.0,sma15x30,2033.0,,0.0,0,,,,0.0,,0.0,,,
KELP,500.0,sma15x40,2033.0,,0.0,0,,,,0.0,,,,0.0,
KELP,500.0,sma20x40,2033.0,,0.0,0,,,,0.0,,,,,0.0
KELP,500.0,sma5x20,2033.0,0.0,0.0,0,,,,0.0,,,,,
RAINFOREST_RESIN,500.0,sma10x30,10001.0,,0.0,0,,,,0.0,0.0,,,,
RAINFOREST_RESIN,500.0,sma10x40,10001.0,,0.0,0,,,,0.0,,,0.0,,
RAINFOREST_RESIN,500.0,sma15x30,10001.0,,0.0,0,,,,0.0,,0.0,,,
RAINFOREST_RESIN,500.0,sma15x40,10001.0,,0.0,0,,,,0.0,,,,0.0,
RAINFOREST_RESIN,500.0,sma20x40,10001.0,,0.0,0,,,,0.0,,,,,0.0
RAINFOREST_RESIN,500.0,sma5x20,10001.0,0.0,0.0,0,,,,0.0,,,,,
SQUID_INK,500.0,sma10x30,1835.0,,0.0,0,,,,0.0,0.0,,,,
SQUID_INK,500.0,sma10x40,1835.0,,0.0,0,,,,0.0,,,0.0,,
SQUID_INK,500.0,sma15x30,1835.0,,0.0,0,,,,0.0,,0.0,,,
SQUID_INK,500.0,sma15x40,1835.0,,0.0,0,,,,0.0,,,,0.0,
SQUID_INK,500.0,sma20x40,1835.0,,0.0,0,,,,0.0,,,,,0.0
SQUID_INK,500.0,sma5x20,1835.0,0.0,0.0,0,,,,0.0,,,,,
KELP,600.0,sma10x30,2034.0,,0.0,0,,,,0.0,0.0,,,,
KELP,600.0,sma10x40,2034.0,,0.0,0,,,,0.0,,,0.0,,
KELP,600.0,sma15x30,2034.0,,0.0,0,,,,0.0,,0.0,,,
KELP,600.0,sma15x40,2034.0,,0.0,0,,,,0.0,,,,0.0,
KELP,600.0,sma20x40,2034.0,,0.0,0,,,,0.0,,,,,0.0
KELP,600.0,sma5x20,2034.0,0.0,0.0,0,,,,0.0,,,,,
RAINFOREST_RESIN,600.0,sma10x30,10000.0,,0.0,0,,,,0.0,0.0,,,,
RAINFOREST_RESIN,600.0,sma10x40,10000.0,,0.0,0,,,,0.0,,,0.0,,
RAINFOREST_RESIN,600.0,sma15x30,10000.0,,0.0,0,,,,0.0,,0.0,,,
RAINFOREST_RESIN,600.0,sma15x40,10000.0,,0.0,0,,,,0.0,,,,0.0,
RAINFOREST_RESIN,600.0,sma20x40,10000.0,,0.0,0,,,,0.0,,,,,0.0
RAINFOREST_RESIN,600.0,sma5x20,10000.0,0.0,0.0,0,,,,0.0,,,,,
SQUID_INK,600.0,sma10x30,1834.5,,0.0,0,,,,0.0,0.0,,,,
SQUID_INK,600.0,sma10x40,1834.5,,0.0,0,,,,0.0,,,0.0,,
SQUID_INK,600.0,sma15x30,1834.5,,0.0,0,,,,0.0,,0.0,,,
SQUID_INK,600.0,sma15x40,1834.5,,0.0,0,,,,0.0,,,,0.0,
SQUID_INK,600.0,sma20x40,1834.5,,0.0,0,,,,0.0,,,,,0.0
SQUID_INK,600.0,sma5x20,1834.5,0.0,0.0,0,,,,0.0,,,,,
KELP,700.0,sma10x30,2033.5,,0.0,0,,,,0.0,0.0,,,,
KELP,700.0,sma10x40,2033.5,,0.0,0,,,,0.0,,,0.0,,
KELP,700.0,sma15x30,2033.5,,0.0,0,,,,0.0,,0.0,,,
KELP,700.0,sma15x40,2033.5,,0.0,0,,,,0.0,,,,0.0,
KELP,700.0,sma20x40,2033.5,,0.0,0,,,,0.0,,,,,0.0
KELP,700.0,sma5x20,2033.5,0.0,0.0,0,,,,0.0,,,,,
RAINFOREST_RESIN,700.0,sma10x30,10000.0,,0.0,0,,,,0.0,0.0,,,,
RAINFOREST_RESIN,700.0,sma10x40,10000.0,,0.0,0,,,,0.0,,,0.0,,
RAINFOREST_RESIN,700.0,sma15x30,10000.0,,0.0,0,,,,0.0,,0.0,,,
RAINFOREST_RESIN,700.0,sma15x40,10000.0,,0.0,0,,,,0.0,,,,0.0,
RAINFOREST_RESIN,700.0,sma20x40,10000.0,,0.0,0,,,,0.0,,,,,0.0
RAINFOREST_RESIN,700.0,sma5x20,10000.0,0.0,0.0,0,,,,0.0,,,,,
SQUID_INK,700.0,sma10x30,1835.5,,0.0,0,,,,0.0,0.0,,,,
SQUID_INK,700.0,sma10x40,1835.5,,0.0,0,,,,0.0,,,0.0,,
SQUID_INK,700.0,sma15x30,1835.5,,0.0,0,,,,0.0,,0.0,,,
SQUID_INK,700.0,sma15x40,1835.5,,0.0,0,,,,0.0,,,,0.0,
SQUID_INK,700.0,sma20x40,1835.5,,0.0,0,,,,0.0,,,,,0.0
SQUID_INK,700.0,sma5x20,1835.5,0.0,0.0,0,,,,0.0,,,,,
KELP,800.0,sma10x30,2032.5,,0.0,0,,,,0.0,0.0,,,,
KELP,800.0,sma10x40,2032.5,,0.0,0,,,,0.0,,,0.0,,
KELP,800.0,sma15x30,2032.5,,0.0,0,,,,0.0,,0.0,,,
KELP,800.0,sma15x40,2032.5,,0.0,0,,,,0.0,,,,0.0,
