timestamp,buyer,seller,symbol,currency,price,quantity
0,,,KELP,SEASHELLS,2029,13
0,,,KELP,SEASHELLS,2029,1
0,,,RAINFOREST_RESIN,SEASHELLS,10004,1
500,SUBMISSION,,RAINFOREST_RESIN,SEASHELLS,10002,4
600,SUBMISSION,,RAINFOREST_RESIN,SEASHELLS,10005,25
700,SUBMISSION,,RAINFOREST_RESIN,SEASHELLS,10005,21
1100,,,RAINFOREST_RESIN,SEASHELLS,9996,2
1300,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,10002,1
1400,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,9996,1
1500,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,9995,27
1600,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,9995,29
1700,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,9996,2
1700,,,KELP,SEASHELLS,2026,8
1700,,,RAINFOREST_RESIN,SEASHELLS,10002,1
1800,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,10002,1
1900,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,9996,1
1900,,,KELP,SEASHELLS,2026,1
2000,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,9996,2
2000,,,RAINFOREST_RESIN,SEASHELLS,9998,1
2100,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,9996,2
2200,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,9998,8
2300,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,9998,7
2400,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,9995,19
2400,,,KELP,SEASHELLS,2025,1
2900,,,RAINFOREST_RESIN,SEASHELLS,9996,1
2900,,,RAINFOREST_RESIN,SEASHELLS,9996,11
3000,,,KELP,SEASHELLS,2027,1
3000,,,RAINFOREST_RESIN,SEASHELLS,10005,1
3100,,,KELP,SEASHELLS,2023,2
3100,,,RAINFOREST_RESIN,SEASHELLS,9996,2
3200,,,KELP,SEASHELLS,2023,2
3200,,,RAINFOREST_RESIN,SEASHELLS,9996,1
3200,,,RAINFOREST_RESIN,SEASHELLS,9996,1
3600,SUBMISSION,,RAINFOREST_RESIN,SEASHELLS,9998,4
3700,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,10002,1
3800,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,9996,2
3800,,,KELP,SEASHELLS,2023,14
3800,,,KELP,SEASHELLS,2023,1
3800,,,RAINFOREST_RESIN,SEASHELLS,9995,1
3900,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,9998,1
4200,,,RAINFOREST_RESIN,SEASHELLS,9996,2
4300,SUBMISSION,,KELP,SEASHELLS,2024,5
4300,,,KELP,SEASHELLS,2025,1
4300,,,KELP,SEASHELLS,2023,2
4300,,,RAINFOREST_RESIN,SEASHELLS,9995,2
4400,SUBMISSION,,KELP,SEASHELLS,2026,30
4500,SUBMISSION,,KELP,SEASHELLS,2026,15
4500,,,KELP,SEASHELLS,2023,1
4700,,,KELP,SEASHELLS,2023,7
4800,,,KELP,SEASHELLS,2027,2
4800,,,RAINFOREST_RESIN,SEASHELLS,10004,2
5300,,,KELP,SEASHELLS,2025,1
5700,,,KELP,SEASHELLS,2024,1
6100,,,KELP,SEASHELLS,2024,1
6500,SUBMISSION,,RAINFOREST_RESIN,SEASHELLS,9998,1
6600,SUBMISSION,,RAINFOREST_RESIN,SEASHELLS,10004,2
6600,,,RAINFOREST_RESIN,SEASHELLS,10005,8
6700,SUBMISSION,,RAINFOREST_RESIN,SEASHELLS,10002,3
6700,,,RAINFOREST_RESIN,SEASHELLS,10002,3
6800,SUBMISSION,,RAINFOREST_RESIN,SEASHELLS,10004,2
6900,SUBMISSION,,RAINFOREST_RESIN,SEASHELLS,10002,5
6900,,,KELP,SEASHELLS,2026,1
6900,,,RAINFOREST_RESIN,SEASHELLS,10002,1
7000,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,9998,2
7000,,,KELP,SEASHELLS,2027,2
7000,,,RAINFOREST_RESIN,SEASHELLS,10005,2
7100,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,9996,1
7200,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,9998,5
7300,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,10002,1
7300,,,KELP,SEASHELLS,2027,2
7300,,,RAINFOREST_RESIN,SEASHELLS,10004,2
7400,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,9996,1
7400,,,KELP,SEASHELLS,2024,1
7500,,SUBMISSION,RAINFOREST_RESIN,SEASHELLS,9995,3
7700,,,KELP,SEASHELLS,2024,1
8100,,,KELP,SEASHELLS,2027,1
8100,,,RAINFOREST_RESIN,SEASHELLS,9996,1
8100,,,RAINFOREST_RESIN,SEASHELLS,9996,1
8600,,,KELP,SEASHELLS,2023,1
8800,SUBMISSION,,RAINFOREST_RESIN,SEASHELLS,9998,1
8900,SUBMISSION,,RAINFOREST_RESIN,SEASHELLS,10005,26
9000,SUBMISSION,,RAINFOREST_RESIN,SEASHELLS,10004,2
